VGS_V,VDS_V,I_model_A
0,3,0
0.02,3,0
0.040000000000000001,3,0
0.059999999999999998,3,0
0.080000000000000002,3,0
0.10000000000000001,3,0
0.12,3,0
0.14000000000000001,3,0
0.16,3,0
0.17999999999999999,3,0
0.20000000000000001,3,0
0.22,3,0
0.23999999999999999,3,0
0.26000000000000001,3,0
0.28000000000000003,3,0
0.29999999999999999,3,0
0.32000000000000001,3,0
0.34000000000000002,3,0
0.35999999999999999,3,0
0.38,3,0
0.40000000000000002,3,0
0.41999999999999998,3,0
0.44,3,0
0.46000000000000002,3,0
0.47999999999999998,3,0
0.5,3,0
0.52000000000000002,3,0
0.54000000000000004,3,0
0.56000000000000005,3,0
0.57999999999999996,3,0
0.59999999999999998,3,0
0.62,3,0
0.64000000000000001,3,0
0.66000000000000003,3,0
0.68000000000000005,3,0
0.70000000000000007,3,0
0.71999999999999997,3,0
0.73999999999999999,3,0
0.76000000000000001,3,0
0.78000000000000003,3,0
0.80000000000000004,3,0
0.82000000000000006,3,0
0.83999999999999997,3,0
0.85999999999999999,3,0
0.88,3,0
0.90000000000000002,3,0
0.92000000000000004,3,0
0.94000000000000006,3,0
0.95999999999999996,3,0
0.97999999999999998,3,0
1,3,0
1.02,3,0
1.04,3,0
1.0600000000000001,3,0
1.0800000000000001,3,0
1.1000000000000001,3,0
1.1200000000000001,3,0
1.1400000000000001,3,0
1.1599999999999999,3,0
1.1799999999999999,3,0
1.2,3,0
1.22,3,4.2400000000000078e-07
1.24,3,1.6960000000000031e-06
1.26,3,3.8160000000000072e-06
1.28,3,6.7840000000000125e-06
1.3,3,1.0600000000000019e-05
1.3200000000000001,3,1.5264000000000029e-05
1.3400000000000001,3,2.077600000000004e-05
1.3600000000000001,3,2.713600000000005e-05
1.3800000000000001,3,3.434400000000007e-05
1.4000000000000001,3,4.2400000000000075e-05
1.4199999999999999,3,5.1303999999999995e-05
1.4399999999999999,3,6.1056000000000006e-05
1.46,3,7.1656000000000006e-05
1.48,3,8.3104000000000009e-05
1.5,3,9.5400000000000042e-05
1.52,3,0.00010854400000000006
1.54,3,0.00012253600000000007
1.5600000000000001,3,0.00013737600000000009
1.5800000000000001,3,0.00015306400000000012
1.6000000000000001,3,0.00016960000000000014
1.6200000000000001,3,0.00018698400000000015
1.6400000000000001,3,0.00020521600000000017
1.6600000000000001,3,0.00022429600000000021
1.6799999999999999,3,0.00024422400000000003
1.7,3,0.00026500000000000004
1.72,3,0.00028662400000000003
1.74,3,0.00030909600000000008
1.76,3,0.00033241600000000004
1.78,3,0.00035658400000000012
1.8,3,0.00038160000000000017
1.8200000000000001,3,0.00040746400000000018
1.8400000000000001,3,0.00043417600000000026
1.8600000000000001,3,0.0004617360000000003
1.8800000000000001,3,0.0004901440000000003
1.9000000000000001,3,0.00051940000000000037
1.9199999999999999,3,0.00054950400000000003
1.9399999999999999,3,0.00058045600000000003
1.96,3,0.00061225600000000004
1.98,3,0.00064490400000000007
2,3,0.00067840000000000023
2.02,3,0.00071274400000000007
2.04,3,0.00074793600000000015
2.0600000000000001,3,0.00078397600000000025
2.0800000000000001,3,0.00082086400000000025
2.1000000000000001,3,0.00085860000000000038
2.1200000000000001,3,0.00089718400000000041
2.1400000000000001,3,0.00093661600000000036
2.1600000000000001,3,0.00097689600000000032
2.1800000000000002,3,0.0010180240000000004
2.2000000000000002,3,0.0010600000000000006
2.2200000000000002,3,0.0011028240000000005
2.2400000000000002,3,0.0011464960000000005
2.2600000000000002,3,0.0011910160000000007
2.2800000000000002,3,0.0012363840000000007
2.3000000000000003,3,0.0012826000000000007
2.3199999999999998,3,0.0013296639999999997
2.3399999999999999,3,0.0013775759999999999
2.3599999999999999,3,0.0014263360000000001
2.3799999999999999,3,0.0014759439999999999
2.3999999999999999,3,0.0015264
2.4199999999999999,3,0.0015777040000000001
2.4399999999999999,3,0.0016298560000000001
2.46,3,0.0016828560000000004
2.48,3,0.0017367040000000002
2.5,3,0.0017914000000000003
2.52,3,0.0018469440000000003
2.54,3,0.0019033360000000005
2.5600000000000001,3,0.0019605760000000003
2.5800000000000001,3,0.0020186640000000003
2.6000000000000001,3,0.0020776000000000006
2.6200000000000001,3,0.0021373840000000009
2.6400000000000001,3,0.0021980160000000006
2.6600000000000001,3,0.002259496000000001
2.6800000000000002,3,0.002321824000000001
2.7000000000000002,3,0.0023850000000000013
2.7200000000000002,3,0.0024490240000000015
2.7400000000000002,3,0.0025138960000000011
2.7600000000000002,3,0.0025796160000000007
2.7800000000000002,3,0.0026461840000000011
2.8000000000000003,3,0.0027136000000000013
2.8199999999999998,3,0.0027818639999999998
2.8399999999999999,3,0.0028509759999999994
2.8599999999999999,3,0.0029209360000000003
2.8799999999999999,3,0.0029917439999999997
2.8999999999999999,3,0.0030634
2.9199999999999999,3,0.0031359040000000001
2.9399999999999999,3,0.0032092560000000002
2.96,3,0.0032834560000000001
2.98,3,0.003358504
3,3,0.0034344000000000006
3.02,3,0.0035111440000000008
3.04,3,0.0035887360000000004
3.0600000000000001,3,0.0036671760000000007
3.0800000000000001,3,0.003746464000000001
3.1000000000000001,3,0.0038266000000000007
3.1200000000000001,3,0.0039075840000000013
3.1400000000000001,3,0.0039894160000000008
3.1600000000000001,3,0.0040720960000000007
3.1800000000000002,3,0.004155624000000001
3.2000000000000002,3,0.0042400000000000007
3.2200000000000002,3,0.0043252240000000025
3.2400000000000002,3,0.0044112959999999994
3.2600000000000002,3,0.0044982160000000028
3.2800000000000002,3,0.0045859840000000004
3.3000000000000003,3,0.0046746000000000018
3.3200000000000003,3,0.004764064000000001
3.3399999999999999,3,0.0048543759999999988
3.3599999999999999,3,0.0049455360000000012
3.3799999999999999,3,0.0050375439999999988
3.3999999999999999,3,0.0051304000000000011
3.4199999999999999,3,0.0052241039999999994
3.4399999999999999,3,0.0053186560000000006
3.46,3,0.0054140559999999987
3.48,3,0.0055103040000000015
3.5,3,0.0056074000000000002
1,0,0
1,0.025000000000000001,0
1,0.050000000000000003,0
1,0.075000000000000011,0
1,0.10000000000000001,0
1,0.125,0
1,0.15000000000000002,0
1,0.17500000000000002,0
1,0.20000000000000001,0
1,0.22500000000000001,0
1,0.25,0
1,0.27500000000000002,0
1,0.30000000000000004,0
1,0.32500000000000001,0
1,0.35000000000000003,0
1,0.375,0
1,0.40000000000000002,0
1,0.42500000000000004,0
1,0.45000000000000001,0
1,0.47500000000000003,0
1,0.5,0
1,0.52500000000000002,0
1,0.55000000000000004,0
1,0.57500000000000007,0
1,0.60000000000000009,0
1,0.625,0
1,0.65000000000000002,0
1,0.67500000000000004,0
1,0.70000000000000007,0
1,0.72500000000000009,0
1,0.75,0
1,0.77500000000000002,0
1,0.80000000000000004,0
1,0.82500000000000007,0
1,0.85000000000000009,0
1,0.875,0
1,0.90000000000000002,0
1,0.92500000000000004,0
1,0.95000000000000007,0
1,0.97500000000000009,0
1,1,0
1,1.0250000000000001,0
1,1.05,0
1,1.075,0
1,1.1000000000000001,0
1,1.125,0
1,1.1500000000000001,0
1,1.175,0
1,1.2000000000000002,0
1,1.2250000000000001,0
1,1.25,0
1,1.2750000000000001,0
1,1.3,0
1,1.3250000000000002,0
1,1.3500000000000001,0
1,1.375,0
1,1.4000000000000001,0
1,1.425,0
1,1.4500000000000002,0
1,1.4750000000000001,0
1,1.5,0
1,1.5250000000000001,0
1,1.55,0
1,1.5750000000000002,0
1,1.6000000000000001,0
1,1.625,0
1,1.6500000000000001,0
1,1.675,0
1,1.7000000000000002,0
1,1.7250000000000001,0
1,1.75,0
1,1.7750000000000001,0
1,1.8,0
1,1.8250000000000002,0
1,1.8500000000000001,0
1,1.875,0
1,1.9000000000000001,0
1,1.925,0
1,1.9500000000000002,0
1,1.9750000000000001,0
1,2,0
1,2.0249999999999999,0
1,2.0500000000000003,0
1,2.0750000000000002,0
1,2.1000000000000001,0
1,2.125,0
1,2.1499999999999999,0
1,2.1750000000000003,0
1,2.2000000000000002,0
1,2.2250000000000001,0
1,2.25,0
1,2.2749999999999999,0
1,2.3000000000000003,0
1,2.3250000000000002,0
1,2.3500000000000001,0
1,2.375,0
