case_id,raw_file,points,max_abs_error_A,rmse_A,passed,max_error_over_tolerance
1,transfer_spice.dat,176,3.010002837255943e-12,3.0099997939195874e-12,True,0.0301
2,output_gate_1_spice.dat,121,3.009999999999993e-12,1.7443046619170356e-12,True,0.03009999999999993
3,output_gate_2_spice.dat,121,3.0099999370151315e-12,1.7443034743343199e-12,True,0.01540429855176628
4,output_gate_3_spice.dat,121,3.009999367808991e-12,1.744303009142447e-12,True,0.0038669056626528665
5,output_gate_4_spice.dat,121,3.010000235170729e-12,1.7443029036971563e-12,True,0.0015914138919164264
6,output_gate_5_spice.dat,121,3.010001102532467e-12,1.7443033398797856e-12,True,0.0008516300086386563
7,output_gate_6_spice.dat,121,3.010000235170729e-12,1.7443039830724518e-12,True,0.0005273855407314591
8,low_vds_spice.dat,176,2.1000052825154158e-13,2.0999999688527027e-13,True,0.0021
