 v-sweep                v(g)                   v(d)                   idrain                
 0.000000000000000e+00  3.000000000000000e+00  0.000000000000000e+00 -0.000000000000000e+00 
 2.500000000000000e-02  3.000000000000000e+00  2.500000000000000e-02  8.941968753119608e-05 
 5.000000000000000e-02  3.000000000000000e+00  5.000000000000000e-02  1.776775000585530e-04 
 7.500000000000001e-02  3.000000000000000e+00  7.500000000000001e-02  2.647715625844496e-04 
 1.000000000000000e-01  3.000000000000000e+00  1.000000000000000e-01  3.507000001100000e-04 
 1.250000000000000e-01  3.000000000000000e+00  1.250000000000000e-01  4.354609376350000e-04 
 1.500000000000000e-01  3.000000000000000e+00  1.500000000000000e-01  5.190525001600000e-04 
 1.750000000000000e-01  3.000000000000000e+00  1.750000000000000e-01  6.014728126850001e-04 
 2.000000000000000e-01  3.000000000000000e+00  2.000000000000000e-01  6.827200002100000e-04 
 2.250000000000000e-01  3.000000000000000e+00  2.250000000000000e-01  7.627921877349999e-04 
 2.500000000000000e-01  3.000000000000000e+00  2.500000000000000e-01  8.416875002599997e-04 
 2.750000000000000e-01  3.000000000000000e+00  2.750000000000000e-01  9.194040627849999e-04 
 3.000000000000000e-01  3.000000000000000e+00  3.000000000000000e-01  9.959400003099997e-04 
 3.250000000000000e-01  3.000000000000000e+00  3.250000000000000e-01  1.071293437835000e-03 
 3.500000000000000e-01  3.000000000000000e+00  3.500000000000000e-01  1.145462500360000e-03 
 3.750000000000001e-01  3.000000000000000e+00  3.750000000000001e-01  1.218445312885000e-03 
 4.000000000000001e-01  3.000000000000000e+00  4.000000000000001e-01  1.290240000410000e-03 
 4.250000000000001e-01  3.000000000000000e+00  4.250000000000001e-01  1.360844687935000e-03 
 4.500000000000001e-01  3.000000000000000e+00  4.500000000000001e-01  1.430257500460000e-03 
 4.750000000000001e-01  3.000000000000000e+00  4.750000000000001e-01  1.498476562985000e-03 
 5.000000000000001e-01  3.000000000000000e+00  5.000000000000001e-01  1.565500000510000e-03 
 5.250000000000001e-01  3.000000000000000e+00  5.250000000000001e-01  1.631325938035000e-03 
 5.500000000000002e-01  3.000000000000000e+00  5.500000000000002e-01  1.695952500560000e-03 
 5.750000000000002e-01  3.000000000000000e+00  5.750000000000002e-01  1.759377813085000e-03 
