 v-sweep                v(g)                   v(d)                   idrain                
 0.000000000000000e+00  1.000000000000000e+00  0.000000000000000e+00 -0.000000000000000e+00 
 2.500000000000000e-02  1.000000000000000e+00  2.500000000000000e-02  3.466560224920957e-14 
 5.000000000000000e-02  1.000000000000000e+00  5.000000000000000e-02  5.987279869247194e-14 
 7.500000000000001e-02  1.000000000000000e+00  7.500000000000001e-02  8.495161399082799e-14 
 1.000000000000000e-01  1.000000000000000e+00  1.000000000000000e-01  1.099815944825640e-13 
 1.250000000000000e-01  1.000000000000000e+00  1.250000000000000e-01  1.350000000000000e-13 
 1.500000000000000e-01  1.000000000000000e+00  1.500000000000000e-01  1.600000000000000e-13 
 1.750000000000000e-01  1.000000000000000e+00  1.750000000000000e-01  1.850000000000000e-13 
 2.000000000000000e-01  1.000000000000000e+00  2.000000000000000e-01  2.100000000000000e-13 
 2.250000000000000e-01  1.000000000000000e+00  2.250000000000000e-01  2.350000000000000e-13 
 2.500000000000000e-01  1.000000000000000e+00  2.500000000000000e-01  2.599999999999999e-13 
 2.750000000000000e-01  1.000000000000000e+00  2.750000000000000e-01  2.849999999999999e-13 
 3.000000000000000e-01  1.000000000000000e+00  3.000000000000000e-01  3.100000000000000e-13 
 3.250000000000000e-01  1.000000000000000e+00  3.250000000000000e-01  3.350000000000000e-13 
 3.500000000000000e-01  1.000000000000000e+00  3.500000000000000e-01  3.600000000000000e-13 
 3.750000000000001e-01  1.000000000000000e+00  3.750000000000001e-01  3.850000000000001e-13 
 4.000000000000001e-01  1.000000000000000e+00  4.000000000000001e-01  4.100000000000001e-13 
 4.250000000000001e-01  1.000000000000000e+00  4.250000000000001e-01  4.350000000000001e-13 
 4.500000000000001e-01  1.000000000000000e+00  4.500000000000001e-01  4.600000000000001e-13 
 4.750000000000001e-01  1.000000000000000e+00  4.750000000000001e-01  4.850000000000001e-13 
 5.000000000000001e-01  1.000000000000000e+00  5.000000000000001e-01  5.100000000000000e-13 
 5.250000000000001e-01  1.000000000000000e+00  5.250000000000001e-01  5.350000000000000e-13 
 5.500000000000002e-01  1.000000000000000e+00  5.500000000000002e-01  5.600000000000001e-13 
 5.750000000000002e-01  1.000000000000000e+00  5.750000000000002e-01  5.850000000000001e-13 
 6.000000000000002e-01  1.000000000000000e+00  6.000000000000002e-01  6.100000000000001e-13 
 6.250000000000002e-01  1.000000000000000e+00  6.250000000000002e-01  6.350000000000001e-13 
 6.500000000000002e-01  1.000000000000000e+00  6.500000000000002e-01  6.600000000000002e-13 
 6.750000000000003e-01  1.000000000000000e+00  6.750000000000003e-01  6.850000000000002e-13 
 7.000000000000003e-01  1.000000000000000e+00  7.000000000000003e-01  7.100000000000002e-13 
 7.250000000000003e-01  1.000000000000000e+00  7.250000000000003e-01  7.350000000000003e-13 
 7.500000000000003e-01  1.000000000000000e+00  7.500000000000003e-01  7.600000000000003e-13 
 7.750000000000004e-01  1.000000000000000e+00  7.750000000000004e-01  7.850000000000003e-13 
 8.000000000000004e-01  1.000000000000000e+00  8.000000000000004e-01  8.100000000000003e-13 
 8.250000000000004e-01  1.000000000000000e+00  8.250000000000004e-01  8.350000000000004e-13 
 8.500000000000004e-01  1.000000000000000e+00  8.500000000000004e-01  8.600000000000004e-13 
 8.750000000000004e-01  1.000000000000000e+00  8.750000000000004e-01  8.850000000000004e-13 
 9.000000000000005e-01  1.000000000000000e+00  9.000000000000005e-01  9.100000000000004e-13 
 9.250000000000005e-01  1.000000000000000e+00  9.250000000000005e-01  9.350000000000004e-13 
 9.500000000000005e-01  1.000000000000000e+00  9.500000000000005e-01  9.600000000000004e-13 
 9.750000000000005e-01  1.000000000000000e+00  9.750000000000005e-01  9.850000000000005e-13 
 1.000000000000000e+00  1.000000000000000e+00  1.000000000000000e+00  1.010000000000000e-12 
 1.025000000000000e+00  1.000000000000000e+00  1.025000000000000e+00  1.035000000000000e-12 
 1.050000000000000e+00  1.000000000000000e+00  1.050000000000000e+00  1.060000000000000e-12 
 1.075000000000000e+00  1.000000000000000e+00  1.075000000000000e+00  1.085000000000000e-12 
 1.100000000000000e+00  1.000000000000000e+00  1.100000000000000e+00  1.110000000000000e-12 
 1.125000000000000e+00  1.000000000000000e+00  1.125000000000000e+00  1.135000000000000e-12 
 1.150000000000000e+00  1.000000000000000e+00  1.150000000000000e+00  1.160000000000000e-12 
 1.175000000000000e+00  1.000000000000000e+00  1.175000000000000e+00  1.185000000000000e-12 
 1.200000000000000e+00  1.000000000000000e+00  1.200000000000000e+00  1.210000000000000e-12 
