 v-sweep                v(g)                   v(d)                   idrain                
 0.000000000000000e+00  2.000000000000000e+00  0.000000000000000e+00 -0.000000000000000e+00 
 2.500000000000000e-02  2.000000000000000e+00  2.500000000000000e-02  3.939468753119610e-05 
 5.000000000000000e-02  2.000000000000000e+00  5.000000000000000e-02  7.757750005855303e-05 
 7.500000000000001e-02  2.000000000000000e+00  7.500000000000001e-02  1.145465625844496e-04 
 1.000000000000000e-01  2.000000000000000e+00  1.000000000000000e-01  1.503000001100000e-04 
 1.250000000000000e-01  2.000000000000000e+00  1.250000000000000e-01  1.848359376350000e-04 
 1.500000000000000e-01  2.000000000000000e+00  1.500000000000000e-01  2.181525001599999e-04 
 1.750000000000000e-01  2.000000000000000e+00  1.750000000000000e-01  2.502478126850000e-04 
 2.000000000000000e-01  2.000000000000000e+00  2.000000000000000e-01  2.811200002100000e-04 
 2.250000000000000e-01  2.000000000000000e+00  2.250000000000000e-01  3.107671877350000e-04 
 2.500000000000000e-01  2.000000000000000e+00  2.500000000000000e-01  3.391875002599998e-04 
 2.750000000000000e-01  2.000000000000000e+00  2.750000000000000e-01  3.663790627849999e-04 
 3.000000000000000e-01  2.000000000000000e+00  3.000000000000000e-01  3.923400003099998e-04 
 3.250000000000000e-01  2.000000000000000e+00  3.250000000000000e-01  4.170684378349998e-04 
 3.500000000000000e-01  2.000000000000000e+00  3.500000000000000e-01  4.405625003599999e-04 
 3.750000000000001e-01  2.000000000000000e+00  3.750000000000001e-01  4.628203128850001e-04 
 4.000000000000001e-01  2.000000000000000e+00  4.000000000000001e-01  4.838400004099999e-04 
 4.250000000000001e-01  2.000000000000000e+00  4.250000000000001e-01  5.036196879350001e-04 
 4.500000000000001e-01  2.000000000000000e+00  4.500000000000001e-01  5.221575004599999e-04 
 4.750000000000001e-01  2.000000000000000e+00  4.750000000000001e-01  5.394515629849998e-04 
 5.000000000000001e-01  2.000000000000000e+00  5.000000000000001e-01  5.555000005100000e-04 
 5.250000000000001e-01  2.000000000000000e+00  5.250000000000001e-01  5.703009380349999e-04 
 5.500000000000002e-01  2.000000000000000e+00  5.500000000000002e-01  5.838525005599999e-04 
 5.750000000000002e-01  2.000000000000000e+00  5.750000000000002e-01  5.961528130849995e-04 
 6.000000000000002e-01  2.000000000000000e+00  6.000000000000002e-01  6.072000006099999e-04 
 6.250000000000002e-01  2.000000000000000e+00  6.250000000000002e-01  6.169921881349996e-04 
 6.500000000000002e-01  2.000000000000000e+00  6.500000000000002e-01  6.255275006599999e-04 
 6.750000000000003e-01  2.000000000000000e+00  6.750000000000003e-01  6.328040631849996e-04 
 7.000000000000003e-01  2.000000000000000e+00  7.000000000000003e-01  6.388200007099993e-04 
 7.250000000000003e-01  2.000000000000000e+00  7.250000000000003e-01  6.435734382349997e-04 
 7.500000000000003e-01  2.000000000000000e+00  7.500000000000003e-01  6.470625007599998e-04 
 7.750000000000004e-01  2.000000000000000e+00  7.750000000000004e-01  6.492853132849994e-04 
 8.000000000000004e-01  2.000000000000000e+00  8.000000000000004e-01  6.502400008099999e-04 
 8.250000000000004e-01  2.000000000000000e+00  8.250000000000004e-01  6.505600008349997e-04 
 8.500000000000004e-01  2.000000000000000e+00  8.500000000000004e-01  6.508800008600000e-04 
 8.750000000000004e-01  2.000000000000000e+00  8.750000000000004e-01  6.512000008849993e-04 
 9.000000000000005e-01  2.000000000000000e+00  9.000000000000005e-01  6.515200009099991e-04 
 9.250000000000005e-01  2.000000000000000e+00  9.250000000000005e-01  6.518400009349998e-04 
 9.500000000000005e-01  2.000000000000000e+00  9.500000000000005e-01  6.521600009599992e-04 
 9.750000000000005e-01  2.000000000000000e+00  9.750000000000005e-01  6.524800009849994e-04 
 1.000000000000000e+00  2.000000000000000e+00  1.000000000000000e+00  6.528000010099996e-04 
 1.025000000000000e+00  2.000000000000000e+00  1.025000000000000e+00  6.531200010349999e-04 
 1.050000000000000e+00  2.000000000000000e+00  1.050000000000000e+00  6.534400010599992e-04 
 1.075000000000000e+00  2.000000000000000e+00  1.075000000000000e+00  6.537600010849995e-04 
 1.100000000000000e+00  2.000000000000000e+00  1.100000000000000e+00  6.540800011099997e-04 
 1.125000000000000e+00  2.000000000000000e+00  1.125000000000000e+00  6.544000011349999e-04 
 1.150000000000000e+00  2.000000000000000e+00  1.150000000000000e+00  6.547200011599993e-04 
 1.175000000000000e+00  2.000000000000000e+00  1.175000000000000e+00  6.550400011849991e-04 
 1.200000000000000e+00  2.000000000000000e+00  1.200000000000000e+00  6.553600012099998e-04 
 1.225000000000000e+00  2.000000000000000e+00  1.225000000000000e+00  6.556800012349996e-04 
 1.250000000000000e+00  2.000000000000000e+00  1.250000000000000e+00  6.560000012599994e-04 
 1.274999999999999e+00  2.000000000000000e+00  1.274999999999999e+00  6.563200012849996e-04 
 1.299999999999999e+00  2.000000000000000e+00  1.299999999999999e+00  6.566400013099999e-04 
 1.324999999999999e+00  2.000000000000000e+00  1.324999999999999e+00  6.569600013349997e-04 
 1.349999999999999e+00  2.000000000000000e+00  1.349999999999999e+00  6.572800013599995e-04 
 1.374999999999999e+00  2.000000000000000e+00  1.374999999999999e+00  6.576000013849997e-04 
 1.399999999999999e+00  2.000000000000000e+00  1.399999999999999e+00  6.579200014099999e-04 
 1.424999999999999e+00  2.000000000000000e+00  1.424999999999999e+00  6.582400014349997e-04 
 1.449999999999999e+00  2.000000000000000e+00  1.449999999999999e+00  6.585600014599991e-04 
 1.474999999999999e+00  2.000000000000000e+00  1.474999999999999e+00  6.588800014849998e-04 
 1.499999999999999e+00  2.000000000000000e+00  1.499999999999999e+00  6.592000015099996e-04 
 1.524999999999999e+00  2.000000000000000e+00  1.524999999999999e+00  6.595200015349998e-04 
 1.549999999999998e+00  2.000000000000000e+00  1.549999999999998e+00  6.598400015599992e-04 
 1.574999999999998e+00  2.000000000000000e+00  1.574999999999998e+00  6.601600015849998e-04 
 1.599999999999998e+00  2.000000000000000e+00  1.599999999999998e+00  6.604800016099992e-04 
 1.624999999999998e+00  2.000000000000000e+00  1.624999999999998e+00  6.608000016349999e-04 
 1.649999999999998e+00  2.000000000000000e+00  1.649999999999998e+00  6.611200016599992e-04 
 1.674999999999998e+00  2.000000000000000e+00  1.674999999999998e+00  6.614400016849995e-04 
 1.699999999999998e+00  2.000000000000000e+00  1.699999999999998e+00  6.617600017099993e-04 
 1.724999999999998e+00  2.000000000000000e+00  1.724999999999998e+00  6.620800017349991e-04 
 1.749999999999998e+00  2.000000000000000e+00  1.749999999999998e+00  6.624000017599993e-04 
 1.774999999999998e+00  2.000000000000000e+00  1.774999999999998e+00  6.627200017849991e-04 
 1.799999999999998e+00  2.000000000000000e+00  1.799999999999998e+00  6.630400018099998e-04 
 1.824999999999998e+00  2.000000000000000e+00  1.824999999999998e+00  6.633600018349992e-04 
 1.849999999999997e+00  2.000000000000000e+00  1.849999999999997e+00  6.636800018599998e-04 
 1.874999999999997e+00  2.000000000000000e+00  1.874999999999997e+00  6.640000018849996e-04 
 1.899999999999997e+00  2.000000000000000e+00  1.899999999999997e+00  6.643200019099994e-04 
 1.924999999999997e+00  2.000000000000000e+00  1.924999999999997e+00  6.646400019349997e-04 
 1.949999999999997e+00  2.000000000000000e+00  1.949999999999997e+00  6.649600019599995e-04 
 1.974999999999997e+00  2.000000000000000e+00  1.974999999999997e+00  6.652800019849997e-04 
 1.999999999999997e+00  2.000000000000000e+00  1.999999999999997e+00  6.656000020099991e-04 
 2.024999999999997e+00  2.000000000000000e+00  2.024999999999997e+00  6.659200020349997e-04 
 2.049999999999997e+00  2.000000000000000e+00  2.049999999999997e+00  6.662400020599991e-04 
 2.074999999999997e+00  2.000000000000000e+00  2.074999999999997e+00  6.665600020849998e-04 
