method_id,Vth_estimate_V,Vth_error_mV
1,1.2000000000000002,2.2204460492503131e-13
2,1.2000000000000002,2.2204460492503131e-13
3,1.1838020199818571,-16.197980018142879
4,1.1839302337405317,-16.06976625946821
5,1.2000000000000002,2.2204460492503131e-13
