parameter_id,estimated,known_educational_model,estimate_minus_reference,relative_error
1,1.1999999967406676,1.2,-3.259332359561995e-09,-2.7161102996349959e-09
2,0.0019999999898800904,0.002,-1.0119909684552786e-11,-5.0599548422763929e-09
3,0.020000000591597466,0.02,5.9159746546022518e-10,2.9579873273011259e-08
