sweep_V,VGS_V,VDS_V,I_SPICE_A
1.5999999999999981,2.5,1.5999999999999981,0.00174408000161
1.624999999999998,2.5,1.624999999999998,0.001744925001634999
1.6499999999999979,2.5,1.6499999999999979,0.001745770001659999
1.674999999999998,2.5,1.674999999999998,0.0017466150016849989
1.699999999999998,2.5,1.699999999999998,0.0017474600017099991
1.7249999999999981,2.5,1.7249999999999981,0.0017483050017350001
1.749999999999998,2.5,1.749999999999998,0.00174915000176
1.7749999999999979,2.5,1.7749999999999979,0.0017499950017849991
1.799999999999998,2.5,1.799999999999998,0.001750840001809999
1.824999999999998,2.5,1.824999999999998,0.001751685001834999
1.849999999999997,2.5,1.849999999999997,0.00175253000186
1.8749999999999969,2.5,1.8749999999999969,0.0017533750018849999
1.899999999999997,2.5,1.899999999999997,0.001754220001909999
1.9249999999999969,2.5,1.9249999999999969,0.0017550650019349989
1.9499999999999971,2.5,1.9499999999999971,0.0017559100019599991
1.974999999999997,2.5,1.974999999999997,0.001756755001984999
1.9999999999999969,2.5,1.9999999999999969,0.00175760000201
2.0249999999999968,2.5,2.0249999999999968,0.001758445002035
2.0499999999999972,2.5,2.0499999999999972,0.001759290002059999
2.0749999999999971,2.5,2.0749999999999971,0.001760135002084999
2.099999999999997,2.5,2.099999999999997,0.0017609800021099989
2.124999999999996,2.5,2.124999999999996,0.0017618250021349991
2.1499999999999959,2.5,2.1499999999999959,0.0017626700021600001
2.1749999999999958,2.5,2.1749999999999958,0.0017635150021849989
2.1999999999999962,2.5,2.1999999999999962,0.0017643600022099991
2.2249999999999961,2.5,2.2249999999999961,0.001765205002234999
2.249999999999996,2.5,2.249999999999996,0.001766050002259999
2.2749999999999959,2.5,2.2749999999999959,0.001766895002285
2.2999999999999958,2.5,2.2999999999999958,0.0017677400023099999
2.3249999999999962,2.5,2.3249999999999962,0.001768585002334999
2.3499999999999961,2.5,2.3499999999999961,0.0017694300023599981
2.374999999999996,2.5,2.374999999999996,0.0017702750023849991
2.399999999999995,2.5,2.399999999999995,0.001771120002409999
2.4249999999999949,2.5,2.4249999999999949,0.001771965002435
2.4499999999999948,2.5,2.4499999999999948,0.0017728100024599991
2.4749999999999952,2.5,2.4749999999999952,0.001773655002484999
2.4999999999999951,2.5,2.4999999999999951,0.001774500002509999
2.524999999999995,2.5,2.524999999999995,0.0017753450025349989
2.5499999999999949,2.5,2.5499999999999949,0.0017761900025599991
2.5749999999999948,2.5,2.5749999999999948,0.001777035002584999
2.5999999999999952,2.5,2.5999999999999952,0.0017778800026099989
2.6249999999999951,2.5,2.6249999999999951,0.001778725002634998
2.649999999999995,2.5,2.649999999999995,0.001779570002659999
2.674999999999994,2.5,2.674999999999994,0.001780415002684999
2.699999999999994,2.5,2.699999999999994,0.00178126000271
2.7249999999999939,2.5,2.7249999999999939,0.0017821050027349991
2.7499999999999938,2.5,2.7499999999999938,0.001782950002759999
2.7749999999999941,2.5,2.7749999999999941,0.0017837950027849989
2.799999999999994,2.5,2.799999999999994,0.001784640002809998
2.824999999999994,2.5,2.824999999999994,0.001785485002834999
2.8499999999999939,2.5,2.8499999999999939,0.0017863300028599989
2.8749999999999938,2.5,2.8749999999999938,0.0017871750028849991
2.8999999999999941,2.5,2.8999999999999941,0.001788020002909999
2.924999999999994,2.5,2.924999999999994,0.001788865002934999
2.949999999999994,2.5,2.949999999999994,0.001789710002959998
2.974999999999993,2.5,2.974999999999993,0.0017905550029849991
2.9999999999999929,2.5,2.9999999999999929,0.0017914000030100001
