sweep_V,VGS_V,VDS_V,I_SPICE_A
1.7000000000000011,1.7000000000000011,3,0.00026500000301000088
1.7200000000000011,1.7200000000000011,3,0.00028662400301000102
1.7400000000000011,1.7400000000000011,3,0.00030909600301000113
1.7600000000000009,1.7600000000000009,3,0.00033241600301000119
1.7800000000000009,1.7800000000000009,3,0.00035658400301000122
1.8000000000000009,1.8000000000000009,3,0.00038160000301000132
1.820000000000001,1.820000000000001,3,0.00040746400301000128
1.840000000000001,1.840000000000001,3,0.0004341760030100012
1.860000000000001,1.860000000000001,3,0.00046173600301000102
1.880000000000001,1.880000000000001,3,0.00049014400301000162
1.900000000000001,1.900000000000001,3,0.00051940000301000169
1.920000000000001,1.920000000000001,3,0.00054950400301000167
1.9400000000000011,1.9400000000000011,3,0.00058045600301000156
1.9600000000000011,1.9600000000000011,3,0.00061225600301000179
1.9800000000000011,1.9800000000000011,3,0.00064490400301000193
2.0000000000000009,2.0000000000000009,3,0.00067840000301000198
2.0200000000000009,2.0200000000000009,3,0.00071274400301000237
2.0400000000000009,2.0400000000000009,3,0.0007479360030100018
2.0600000000000009,2.0600000000000009,3,0.000783976003010002
2.080000000000001,2.080000000000001,3,0.00082086400301000211
2.100000000000001,2.100000000000001,3,0.00085860000301000257
2.120000000000001,2.120000000000001,3,0.00089718400301000249
2.140000000000001,2.140000000000001,3,0.00093661600301000276
2.160000000000001,2.160000000000001,3,0.0009768960030100025
2.180000000000001,2.180000000000001,3,0.001018024003010003
2.200000000000002,2.200000000000002,3,0.001060000003010003
2.220000000000002,2.220000000000002,3,0.0011028240030100029
2.240000000000002,2.240000000000002,3,0.0011464960030100029
2.260000000000002,2.260000000000002,3,0.0011910160030100031
2.280000000000002,2.280000000000002,3,0.0012363840030100029
2.300000000000002,2.300000000000002,3,0.001282600003010004
2.3200000000000021,2.3200000000000021,3,0.001329664003010003
2.3400000000000021,2.3400000000000021,3,0.0013775760030100041
2.3600000000000021,2.3600000000000021,3,0.0014263360030100031
2.3800000000000021,2.3800000000000021,3,0.001475944003010004
2.4000000000000021,2.4000000000000021,3,0.0015264000030100039
2.4200000000000021,2.4200000000000021,3,0.0015777040030100051
2.4400000000000022,2.4400000000000022,3,0.001629856003010004
2.4600000000000022,2.4600000000000022,3,0.0016828560030100049
2.4800000000000022,2.4800000000000022,3,0.0017367040030100041
2.5000000000000022,2.5000000000000022,3,0.001791400003010004
2.5200000000000018,2.5200000000000018,3,0.0018469440030100049
2.5400000000000018,2.5400000000000018,3,0.0019033360030100051
2.5600000000000018,2.5600000000000018,3,0.0019605760030100049
2.5800000000000018,2.5800000000000018,3,0.0020186640030100049
2.6000000000000019,2.6000000000000019,3,0.0020776000030100052
2.6200000000000019,2.6200000000000019,3,0.002137384003010005
2.6400000000000019,2.6400000000000019,3,0.0021980160030100051
2.6600000000000019,2.6600000000000019,3,0.002259496003010006
2.6800000000000019,2.6800000000000019,3,0.002321824003010006
2.700000000000002,2.700000000000002,3,0.002385000003010005
