candidate_id,lambda_per_V,beta_A_per_V2,transfer_rmse_A,output_curve_rmse_A
1,0,0.0021199999928224805,2.5132749886158682e-12,4.2427931124237005e-05
2,0.02,0.001999999993228755,2.5132750340860228e-12,7.6874258078312277e-13
3,0.050000000000000003,0.001843478254628244,2.5132749900835426e-12,5.5340779066596549e-05
