VDS_V,I_SPICE_A,lambda_0_A,lambda_0p02_A,lambda_0p05_A
0,-0,0,0,0
0.025000000000000001,6.4407187531196106e-05,6.8237499941718209e-05,6.4407187444989674e-05,5.9411127666648145e-05
0.050000000000000003,0.000127627500058553,0.00013514999988792237,0.00012762749989416066,0.00011781554338055841
0.075000000000000011,0.00018965906258444959,0.00020073749983861252,0.00018965906234751927,0.00017520892648957158
0.10000000000000001,0.00025050000011000003,0.00026499999979378853,0.00025049999980507185,0.00023158695634152823
0.125,0.00031014843763499991,0.00032793749975345052,0.00031014843726682464,0.00028694531228426923
0.14999999999999999,0.00036860250015999989,0.00038954999971759841,0.00036860249973278406,0.00034127967366563515
0.17499999999999999,0.00042586031268499998,0.00044983749968623236,0.00042586031220295676,0.0003945857198334669
0.20000000000000001,0.00048192000020999998,0.00050879999965935225,0.00048191999967734875,0.00044685913013560506
0.22500000000000001,0.00053677968773499995,0.00056643749963695804,0.00053677968715596638,0.00049809558391989035
0.25,0.00059043750025999974,0.00062274999961904978,0.00059043749963881608,0.00054829076053416342
0.27500000000000002,0.00064289156278499974,0.00067773749960562757,0.00064289156212590424,0.00059744033932626508
0.29999999999999999,0.00069414000030999996,0.0007313999995966911,0.00069413999961723705,0.00064553999964403605
0.32500000000000001,0.00074418093783499997,0.00078373749959224079,0.00074418093711282104,0.00069258542083531723
0.34999999999999998,0.00079301250035999969,0.00083474999959227633,0.00079301249961266239,0.00073857228224794903
0.37500000000000011,0.00084063281288500021,0.00088443749959679803,0.00084063281211676794,0.00078349626322977224
0.40000000000000008,0.00088704000041000012,0.00093279999960580535,0.00088703999962514324,0.00082735304312862748
0.4250000000000001,0.00093223218793499988,0.00097983749961929895,0.00093223218713779502,0.00087013830129235566
0.45000000000000012,0.0009762075004599996,0.0010255499996372783,0.00097620749965472979,0.00091184771706879738
0.47500000000000009,0.0010189640629850001,0.0010699374996597432,0.0010189640621759534,0.00095247696980579324
0.50000000000000011,0.0010605000005100001,0.0011129999996866949,0.0010604999997014734,0.00099202173885118449
