VGS_V,I_SPICE_A,lambda_0_A,lambda_0p02_A,lambda_0p05_A
0,3.0099999999999999e-12,0,0,0
0.02,3.0099999999999999e-12,0,0,0
0.040000000000000001,3.0099999999999999e-12,0,0,0
0.059999999999999998,3.0099999999999999e-12,0,0,0
0.080000000000000002,3.0099999999999999e-12,0,0,0
0.10000000000000001,3.0099999999999999e-12,0,0,0
0.12,3.0099999999999999e-12,0,0,0
0.14000000000000001,3.0099999999999999e-12,0,0,0
0.16,3.0099999999999999e-12,0,0,0
0.17999999999999999,3.0099999999999999e-12,0,0,0
0.20000000000000001,3.0099999999999999e-12,0,0,0
0.22,3.0099999999999999e-12,0,0,0
0.23999999999999999,3.0099999999999999e-12,0,0,0
0.26000000000000001,3.0099999999999999e-12,0,0,0
0.28000000000000003,3.0099999999999999e-12,0,0,0
0.29999999999999999,3.0099999999999999e-12,0,0,0
0.32000000000000001,3.0099999999999999e-12,0,0,0
0.34000000000000002,3.0099999999999999e-12,0,0,0
0.35999999999999999,3.0099999999999999e-12,0,0,0
0.38000000000000012,3.0099999999999999e-12,0,0,0
0.40000000000000008,3.0099999999999999e-12,0,0,0
0.4200000000000001,3.0099999999999999e-12,0,0,0
0.44000000000000011,3.0099999999999999e-12,0,0,0
0.46000000000000008,3.0099999999999999e-12,0,0,0
0.48000000000000009,3.0099999999999999e-12,0,0,0
0.50000000000000011,3.0099999999999999e-12,0,0,0
0.52000000000000013,3.0099999999999999e-12,0,0,0
0.54000000000000015,3.0099999999999999e-12,0,0,0
0.56000000000000016,3.0099999999999999e-12,0,0,0
0.58000000000000018,3.0099999999999999e-12,0,0,0
0.6000000000000002,3.0099999999999999e-12,0,0,0
0.62000000000000022,3.0099999999999999e-12,0,0,0
0.64000000000000024,3.0099999999999999e-12,0,0,0
0.66000000000000025,3.0099999999999999e-12,0,0,0
0.68000000000000027,3.0099999999999999e-12,0,0,0
0.70000000000000029,3.0099999999999999e-12,0,0,0
0.72000000000000031,3.0099999999999999e-12,0,0,0
0.74000000000000032,3.0099999999999999e-12,0,0,0
0.76000000000000034,3.0099999999999999e-12,0,0,0
0.78000000000000036,3.0099999999999999e-12,0,0,0
0.80000000000000038,3.0099999999999999e-12,0,0,0
0.8200000000000004,3.0099999999999999e-12,0,0,0
0.84000000000000041,3.0099999999999999e-12,0,0,0
0.86000000000000043,3.0099999999999999e-12,0,0,0
0.88000000000000045,3.0099999999999999e-12,0,0,0
0.90000000000000047,3.0099999999999999e-12,0,0,0
0.92000000000000048,3.0099999999999999e-12,0,0,0
0.9400000000000005,3.0099999999999999e-12,0,0,0
0.96000000000000052,3.0099999999999999e-12,0,0,0
0.98000000000000054,3.0099999999999999e-12,0,0,0
1,3.0099999999999999e-12,0,0,0
1.02,3.0099999999999999e-12,0,0,0
1.04,3.0099999999999999e-12,0,0,0
1.0600000000000001,3.0099999999999999e-12,0,0,0
1.080000000000001,3.0099999999999999e-12,0,0,0
1.100000000000001,3.0099999999999999e-12,0,0,0
1.120000000000001,3.0099999999999999e-12,0,0,0
1.140000000000001,3.0099999999999999e-12,0,0,0
1.160000000000001,3.0099999999999999e-12,0,0,0
1.180000000000001,3.0099999999999999e-12,0,0,0
1.2000000000000011,3.0099999999999999e-12,1.1260649909172198e-20,1.1260649909172198e-20,1.1260649909172197e-20
