case_id,heldout_rows_in_case,max_abs_error_A,rmse_A,max_abs_reference_current_A,all_within_tolerance
1,125,6.1020320740734491e-12,2.9765131930368781e-12,0.0056074000030100143,1
2,121,3.009999999999993e-12,1.7443046619170356e-12,3.009999999999993e-12,1
3,121,1.2600529072839123e-12,7.0907802415726857e-13,9.5400003009999952e-05,1
4,120,1.5010836540776951e-12,8.4959616434040168e-13,0.00067808000298499958,1
5,64,2.3774541363374979e-12,1.5737294241971282e-12,0.001743235001585,1
6,121,6.2448084897637202e-12,4.1545368331780641e-12,0.0034344000030100009,1
7,121,1.1622999437910231e-11,8.7421152659111277e-12,0.0056074000030099987,1
8,176,3.2675019374234227e-12,1.3262913823527949e-12,0.00088352000021000112,1
