 v-sweep                v(g)                   v(d)                   idrain                
 0.000000000000000e+00  1.500000000000000e+00  0.000000000000000e+00 -0.000000000000000e+00 
 2.500000000000000e-02  1.500000000000000e+00  2.500000000000000e-02  1.438218753119610e-05 
 5.000000000000000e-02  1.500000000000000e+00  5.000000000000000e-02  2.752750005855303e-05 
 7.500000000000001e-02  1.500000000000000e+00  7.500000000000001e-02  3.943406258444956e-05 
 1.000000000000000e-01  1.500000000000000e+00  1.000000000000000e-01  5.010000010999992e-05 
 1.250000000000000e-01  1.500000000000000e+00  1.250000000000000e-01  5.952343763499993e-05 
 1.500000000000000e-01  1.500000000000000e+00  1.500000000000000e-01  6.770250015999995e-05 
 1.750000000000000e-01  1.500000000000000e+00  1.750000000000000e-01  7.463531268499994e-05 
 2.000000000000000e-01  1.500000000000000e+00  2.000000000000000e-01  8.032000020999992e-05 
 2.250000000000000e-01  1.500000000000000e+00  2.250000000000000e-01  8.475468773499995e-05 
 2.500000000000000e-01  1.500000000000000e+00  2.500000000000000e-01  8.793750025999983e-05 
 2.750000000000000e-01  1.500000000000000e+00  2.750000000000000e-01  8.986656278500000e-05 
 3.000000000000000e-01  1.500000000000000e+00  3.000000000000000e-01  9.054000030999992e-05 
 3.250000000000000e-01  1.500000000000000e+00  3.250000000000000e-01  9.058500033499995e-05 
 3.500000000000000e-01  1.500000000000000e+00  3.500000000000000e-01  9.063000035999997e-05 
 3.750000000000001e-01  1.500000000000000e+00  3.750000000000001e-01  9.067500038499989e-05 
 4.000000000000001e-01  1.500000000000000e+00  4.000000000000001e-01  9.072000040999991e-05 
 4.250000000000001e-01  1.500000000000000e+00  4.250000000000001e-01  9.076500043499994e-05 
 4.500000000000001e-01  1.500000000000000e+00  4.500000000000001e-01  9.081000045999996e-05 
 4.750000000000001e-01  1.500000000000000e+00  4.750000000000001e-01  9.085500048499999e-05 
 5.000000000000001e-01  1.500000000000000e+00  5.000000000000001e-01  9.090000050999991e-05 
 5.250000000000001e-01  1.500000000000000e+00  5.250000000000001e-01  9.094500053499993e-05 
 5.500000000000002e-01  1.500000000000000e+00  5.500000000000002e-01  9.099000055999996e-05 
 5.750000000000002e-01  1.500000000000000e+00  5.750000000000002e-01  9.103500058499998e-05 
 6.000000000000002e-01  1.500000000000000e+00  6.000000000000002e-01  9.108000060999990e-05 
 6.250000000000002e-01  1.500000000000000e+00  6.250000000000002e-01  9.112500063499993e-05 
 6.500000000000002e-01  1.500000000000000e+00  6.500000000000002e-01  9.117000065999995e-05 
 6.750000000000003e-01  1.500000000000000e+00  6.750000000000003e-01  9.121500068499998e-05 
 7.000000000000003e-01  1.500000000000000e+00  7.000000000000003e-01  9.126000070999989e-05 
 7.250000000000003e-01  1.500000000000000e+00  7.250000000000003e-01  9.130500073499992e-05 
 7.500000000000003e-01  1.500000000000000e+00  7.500000000000003e-01  9.135000075999994e-05 
 7.750000000000004e-01  1.500000000000000e+00  7.750000000000004e-01  9.139500078499997e-05 
 8.000000000000004e-01  1.500000000000000e+00  8.000000000000004e-01  9.144000080999989e-05 
 8.250000000000004e-01  1.500000000000000e+00  8.250000000000004e-01  9.148500083499991e-05 
 8.500000000000004e-01  1.500000000000000e+00  8.500000000000004e-01  9.153000085999994e-05 
 8.750000000000004e-01  1.500000000000000e+00  8.750000000000004e-01  9.157500088499996e-05 
 9.000000000000005e-01  1.500000000000000e+00  9.000000000000005e-01  9.162000090999999e-05 
 9.250000000000005e-01  1.500000000000000e+00  9.250000000000005e-01  9.166500093499990e-05 
 9.500000000000005e-01  1.500000000000000e+00  9.500000000000005e-01  9.171000095999993e-05 
 9.750000000000005e-01  1.500000000000000e+00  9.750000000000005e-01  9.175500098499996e-05 
 1.000000000000000e+00  1.500000000000000e+00  1.000000000000000e+00  9.180000100999998e-05 
 1.025000000000000e+00  1.500000000000000e+00  1.025000000000000e+00  9.184500103499990e-05 
 1.050000000000000e+00  1.500000000000000e+00  1.050000000000000e+00  9.189000105999992e-05 
 1.075000000000000e+00  1.500000000000000e+00  1.075000000000000e+00  9.193500108499995e-05 
 1.100000000000000e+00  1.500000000000000e+00  1.100000000000000e+00  9.198000110999997e-05 
 1.125000000000000e+00  1.500000000000000e+00  1.125000000000000e+00  9.202500113499989e-05 
 1.150000000000000e+00  1.500000000000000e+00  1.150000000000000e+00  9.207000115999992e-05 
 1.175000000000000e+00  1.500000000000000e+00  1.175000000000000e+00  9.211500118499994e-05 
 1.200000000000000e+00  1.500000000000000e+00  1.200000000000000e+00  9.216000120999997e-05 
 1.225000000000000e+00  1.500000000000000e+00  1.225000000000000e+00  9.220500123499988e-05 
 1.250000000000000e+00  1.500000000000000e+00  1.250000000000000e+00  9.225000125999991e-05 
 1.274999999999999e+00  1.500000000000000e+00  1.274999999999999e+00  9.229500128499993e-05 
 1.299999999999999e+00  1.500000000000000e+00  1.299999999999999e+00  9.234000130999996e-05 
 1.324999999999999e+00  1.500000000000000e+00  1.324999999999999e+00  9.238500133499999e-05 
 1.349999999999999e+00  1.500000000000000e+00  1.349999999999999e+00  9.243000135999990e-05 
 1.374999999999999e+00  1.500000000000000e+00  1.374999999999999e+00  9.247500138499993e-05 
 1.399999999999999e+00  1.500000000000000e+00  1.399999999999999e+00  9.252000140999995e-05 
 1.424999999999999e+00  1.500000000000000e+00  1.424999999999999e+00  9.256500143499998e-05 
 1.449999999999999e+00  1.500000000000000e+00  1.449999999999999e+00  9.261000145999990e-05 
 1.474999999999999e+00  1.500000000000000e+00  1.474999999999999e+00  9.265500148499992e-05 
 1.499999999999999e+00  1.500000000000000e+00  1.499999999999999e+00  9.270000150999995e-05 
 1.524999999999999e+00  1.500000000000000e+00  1.524999999999999e+00  9.274500153499997e-05 
 1.549999999999998e+00  1.500000000000000e+00  1.549999999999998e+00  9.279000155999989e-05 
 1.574999999999998e+00  1.500000000000000e+00  1.574999999999998e+00  9.283500158499991e-05 
 1.599999999999998e+00  1.500000000000000e+00  1.599999999999998e+00  9.288000160999994e-05 
 1.624999999999998e+00  1.500000000000000e+00  1.624999999999998e+00  9.292500163499997e-05 
 1.649999999999998e+00  1.500000000000000e+00  1.649999999999998e+00  9.297000165999988e-05 
 1.674999999999998e+00  1.500000000000000e+00  1.674999999999998e+00  9.301500168499991e-05 
 1.699999999999998e+00  1.500000000000000e+00  1.699999999999998e+00  9.306000170999993e-05 
 1.724999999999998e+00  1.500000000000000e+00  1.724999999999998e+00  9.310500173499996e-05 
 1.749999999999998e+00  1.500000000000000e+00  1.749999999999998e+00  9.315000175999998e-05 
