 v-sweep                v(g)                   v(d)                   idrain                
 0.000000000000000e+00  0.000000000000000e+00  3.000000000000000e+00  3.010000000000000e-12 
 2.000000000000000e-02  2.000000000000000e-02  3.000000000000000e+00  3.010000000000000e-12 
 4.000000000000000e-02  4.000000000000000e-02  3.000000000000000e+00  3.010000000000000e-12 
 6.000000000000000e-02  6.000000000000000e-02  3.000000000000000e+00  3.010000000000000e-12 
 8.000000000000000e-02  8.000000000000000e-02  3.000000000000000e+00  3.010000000000000e-12 
 1.000000000000000e-01  1.000000000000000e-01  3.000000000000000e+00  3.010000000000000e-12 
 1.200000000000000e-01  1.200000000000000e-01  3.000000000000000e+00  3.010000000000000e-12 
 1.400000000000000e-01  1.400000000000000e-01  3.000000000000000e+00  3.010000000000000e-12 
 1.600000000000000e-01  1.600000000000000e-01  3.000000000000000e+00  3.010000000000000e-12 
 1.800000000000000e-01  1.800000000000000e-01  3.000000000000000e+00  3.010000000000000e-12 
 2.000000000000000e-01  2.000000000000000e-01  3.000000000000000e+00  3.010000000000000e-12 
 2.200000000000000e-01  2.200000000000000e-01  3.000000000000000e+00  3.010000000000000e-12 
 2.400000000000000e-01  2.400000000000000e-01  3.000000000000000e+00  3.010000000000000e-12 
 2.600000000000000e-01  2.600000000000000e-01  3.000000000000000e+00  3.010000000000000e-12 
 2.800000000000000e-01  2.800000000000000e-01  3.000000000000000e+00  3.010000000000000e-12 
 3.000000000000000e-01  3.000000000000000e-01  3.000000000000000e+00  3.010000000000000e-12 
 3.200000000000000e-01  3.200000000000000e-01  3.000000000000000e+00  3.010000000000000e-12 
 3.400000000000000e-01  3.400000000000000e-01  3.000000000000000e+00  3.010000000000000e-12 
 3.600000000000000e-01  3.600000000000000e-01  3.000000000000000e+00  3.010000000000000e-12 
 3.800000000000001e-01  3.800000000000001e-01  3.000000000000000e+00  3.010000000000000e-12 
 4.000000000000001e-01  4.000000000000001e-01  3.000000000000000e+00  3.010000000000000e-12 
 4.200000000000001e-01  4.200000000000001e-01  3.000000000000000e+00  3.010000000000000e-12 
 4.400000000000001e-01  4.400000000000001e-01  3.000000000000000e+00  3.010000000000000e-12 
 4.600000000000001e-01  4.600000000000001e-01  3.000000000000000e+00  3.010000000000000e-12 
 4.800000000000001e-01  4.800000000000001e-01  3.000000000000000e+00  3.010000000000000e-12 
 5.000000000000001e-01  5.000000000000001e-01  3.000000000000000e+00  3.010000000000000e-12 
 5.200000000000001e-01  5.200000000000001e-01  3.000000000000000e+00  3.010000000000000e-12 
 5.400000000000001e-01  5.400000000000001e-01  3.000000000000000e+00  3.010000000000000e-12 
 5.600000000000002e-01  5.600000000000002e-01  3.000000000000000e+00  3.010000000000000e-12 
 5.800000000000002e-01  5.800000000000002e-01  3.000000000000000e+00  3.010000000000000e-12 
 6.000000000000002e-01  6.000000000000002e-01  3.000000000000000e+00  3.010000000000000e-12 
 6.200000000000002e-01  6.200000000000002e-01  3.000000000000000e+00  3.010000000000000e-12 
 6.400000000000002e-01  6.400000000000002e-01  3.000000000000000e+00  3.010000000000000e-12 
 6.600000000000003e-01  6.600000000000003e-01  3.000000000000000e+00  3.010000000000000e-12 
 6.800000000000003e-01  6.800000000000003e-01  3.000000000000000e+00  3.010000000000000e-12 
 7.000000000000003e-01  7.000000000000003e-01  3.000000000000000e+00  3.010000000000000e-12 
 7.200000000000003e-01  7.200000000000003e-01  3.000000000000000e+00  3.010000000000000e-12 
 7.400000000000003e-01  7.400000000000003e-01  3.000000000000000e+00  3.010000000000000e-12 
 7.600000000000003e-01  7.600000000000003e-01  3.000000000000000e+00  3.010000000000000e-12 
 7.800000000000004e-01  7.800000000000004e-01  3.000000000000000e+00  3.010000000000000e-12 
