VDS_V,I_model_VGS_1.0V_A,I_model_VGS_1.5V_A,I_model_VGS_2.0V_A,I_model_VGS_2.5V_A,I_model_VGS_3.0V_A,I_model_VGS_3.5V_A
1.875,0,9.3375e-05,0.000664,0.001753375,0.0033615,0.0053009765625
1.9,0,9.342e-05,0.00066432,0.00175422,0.00336312,0.00532494
1.925,0,9.3465e-05,0.00066464,0.001755065,0.00336474,0.0053476259375
1.95,0,9.351e-05,0.00066496,0.00175591,0.00336636,0.0053690325
1.975,0,9.3555e-05,0.00066528,0.001756755,0.00336798,0.0053891578125
2,0,9.36e-05,0.0006656,0.0017576,0.0033696,0.005408
2.025,0,9.3645e-05,0.00066592,0.001758445,0.00337122,0.0054255571875
2.05,0,9.369e-05,0.00066624,0.00175929,0.00337284,0.0054418275
2.075,0,9.3735e-05,0.00066656,0.001760135,0.00337446,0.0054568090625
2.1,0,9.378e-05,0.00066688,0.00176098,0.00337608,0.0054705
2.125,0,9.3825e-05,0.0006672,0.001761825,0.0033777,0.0054828984375
2.15,0,9.387e-05,0.00066752,0.00176267,0.00337932,0.0054940025
2.175,0,9.3915e-05,0.00066784,0.001763515,0.00338094,0.0055038103125
2.2,0,9.396e-05,0.00066816,0.00176436,0.00338256,0.00551232
2.225,0,9.4005e-05,0.00066848,0.001765205,0.00338418,0.0055195296875
2.25,0,9.405e-05,0.0006688,0.00176605,0.0033858,0.0055254375
2.275,0,9.4095e-05,0.00066912,0.001766895,0.00338742,0.0055300415625
2.3,0,9.414e-05,0.00066944,0.00176774,0.00338904,0.00553334
2.325,0,9.4185e-05,0.00066976,0.001768585,0.00339066,0.005535985
2.35,0,9.423e-05,0.00067008,0.00176943,0.00339228,0.00553863
2.375,0,9.4275e-05,0.0006704,0.001770275,0.0033939,0.005541275
2.4,0,9.432e-05,0.00067072,0.00177112,0.00339552,0.00554392
2.425,0,9.4365e-05,0.00067104,0.001771965,0.00339714,0.005546565
2.45,0,9.441e-05,0.00067136,0.00177281,0.00339876,0.00554921
2.475,0,9.4455e-05,0.00067168,0.001773655,0.00340038,0.005551855
2.5,0,9.45e-05,0.000672,0.0017745,0.003402,0.0055545
2.525,0,9.4545e-05,0.00067232,0.001775345,0.00340362,0.005557145
2.55,0,9.459e-05,0.00067264,0.00177619,0.00340524,0.00555979
2.575,0,9.4635e-05,0.00067296,0.001777035,0.00340686,0.005562435
2.6,0,9.468e-05,0.00067328,0.00177788,0.00340848,0.00556508
2.625,0,9.4725e-05,0.0006736,0.001778725,0.0034101,0.005567725
2.65,0,9.477e-05,0.00067392,0.00177957,0.00341172,0.00557037
2.675,0,9.4815e-05,0.00067424,0.001780415,0.00341334,0.005573015
2.7,0,9.486e-05,0.00067456,0.00178126,0.00341496,0.00557566
2.725,0,9.4905e-05,0.00067488,0.001782105,0.00341658,0.005578305
2.75,0,9.495e-05,0.0006752,0.00178295,0.0034182,0.00558095
2.775,0,9.4995e-05,0.00067552,0.001783795,0.00341982,0.005583595
2.8,0,9.504e-05,0.00067584,0.00178464,0.00342144,0.00558624
2.825,0,9.5085e-05,0.00067616,0.001785485,0.00342306,0.005588885
2.85,0,9.513e-05,0.00067648,0.00178633,0.00342468,0.00559153
2.875,0,9.51750000000001e-05,0.0006768,0.001787175,0.0034263,0.005594175
2.9,0,9.522e-05,0.00067712,0.00178802,0.00342792,0.00559682
2.925,0,9.5265e-05,0.00067744,0.001788865,0.00342954,0.005599465
2.95,0,9.531e-05,0.00067776,0.00178971,0.00343116,0.00560211
2.975,0,9.5355e-05,0.00067808,0.001790555,0.00343278,0.005604755
3,0,9.54e-05,0.0006784,0.0017914,0.0034344,0.0056074
