sweep_V,VGS_V,VDS_V,I_SPICE_A,I_channel_model_A,residual_A,tolerance_A
0,0,3,3.0099999999999999e-12,0,3.0099999999999999e-12,1e-10
0.02,0.02,3,3.0099999999999999e-12,0,3.0099999999999999e-12,1e-10
0.040000000000000001,0.040000000000000001,3,3.0099999999999999e-12,0,3.0099999999999999e-12,1e-10
0.059999999999999998,0.059999999999999998,3,3.0099999999999999e-12,0,3.0099999999999999e-12,1e-10
0.080000000000000002,0.080000000000000002,3,3.0099999999999999e-12,0,3.0099999999999999e-12,1e-10
0.10000000000000001,0.10000000000000001,3,3.0099999999999999e-12,0,3.0099999999999999e-12,1e-10
0.12,0.12,3,3.0099999999999999e-12,0,3.0099999999999999e-12,1e-10
0.14000000000000001,0.14000000000000001,3,3.0099999999999999e-12,0,3.0099999999999999e-12,1e-10
0.16,0.16,3,3.0099999999999999e-12,0,3.0099999999999999e-12,1e-10
0.17999999999999999,0.17999999999999999,3,3.0099999999999999e-12,0,3.0099999999999999e-12,1e-10
0.20000000000000001,0.20000000000000001,3,3.0099999999999999e-12,0,3.0099999999999999e-12,1e-10
0.22,0.22,3,3.0099999999999999e-12,0,3.0099999999999999e-12,1e-10
0.23999999999999999,0.23999999999999999,3,3.0099999999999999e-12,0,3.0099999999999999e-12,1e-10
0.26000000000000001,0.26000000000000001,3,3.0099999999999999e-12,0,3.0099999999999999e-12,1e-10
0.28000000000000003,0.28000000000000003,3,3.0099999999999999e-12,0,3.0099999999999999e-12,1e-10
0.29999999999999999,0.29999999999999999,3,3.0099999999999999e-12,0,3.0099999999999999e-12,1e-10
0.32000000000000001,0.32000000000000001,3,3.0099999999999999e-12,0,3.0099999999999999e-12,1e-10
0.34000000000000002,0.34000000000000002,3,3.0099999999999999e-12,0,3.0099999999999999e-12,1e-10
0.35999999999999999,0.35999999999999999,3,3.0099999999999999e-12,0,3.0099999999999999e-12,1e-10
0.38000000000000012,0.38000000000000012,3,3.0099999999999999e-12,0,3.0099999999999999e-12,1e-10
0.40000000000000008,0.40000000000000008,3,3.0099999999999999e-12,0,3.0099999999999999e-12,1e-10
0.4200000000000001,0.4200000000000001,3,3.0099999999999999e-12,0,3.0099999999999999e-12,1e-10
0.44000000000000011,0.44000000000000011,3,3.0099999999999999e-12,0,3.0099999999999999e-12,1e-10
0.46000000000000008,0.46000000000000008,3,3.0099999999999999e-12,0,3.0099999999999999e-12,1e-10
0.48000000000000009,0.48000000000000009,3,3.0099999999999999e-12,0,3.0099999999999999e-12,1e-10
0.50000000000000011,0.50000000000000011,3,3.0099999999999999e-12,0,3.0099999999999999e-12,1e-10
0.52000000000000013,0.52000000000000013,3,3.0099999999999999e-12,0,3.0099999999999999e-12,1e-10
0.54000000000000015,0.54000000000000015,3,3.0099999999999999e-12,0,3.0099999999999999e-12,1e-10
0.56000000000000016,0.56000000000000016,3,3.0099999999999999e-12,0,3.0099999999999999e-12,1e-10
0.58000000000000018,0.58000000000000018,3,3.0099999999999999e-12,0,3.0099999999999999e-12,1e-10
0.6000000000000002,0.6000000000000002,3,3.0099999999999999e-12,0,3.0099999999999999e-12,1e-10
0.62000000000000022,0.62000000000000022,3,3.0099999999999999e-12,0,3.0099999999999999e-12,1e-10
0.64000000000000024,0.64000000000000024,3,3.0099999999999999e-12,0,3.0099999999999999e-12,1e-10
0.66000000000000025,0.66000000000000025,3,3.0099999999999999e-12,0,3.0099999999999999e-12,1e-10
0.68000000000000027,0.68000000000000027,3,3.0099999999999999e-12,0,3.0099999999999999e-12,1e-10
0.70000000000000029,0.70000000000000029,3,3.0099999999999999e-12,0,3.0099999999999999e-12,1e-10
0.72000000000000031,0.72000000000000031,3,3.0099999999999999e-12,0,3.0099999999999999e-12,1e-10
0.74000000000000032,0.74000000000000032,3,3.0099999999999999e-12,0,3.0099999999999999e-12,1e-10
0.76000000000000034,0.76000000000000034,3,3.0099999999999999e-12,0,3.0099999999999999e-12,1e-10
0.78000000000000036,0.78000000000000036,3,3.0099999999999999e-12,0,3.0099999999999999e-12,1e-10
0.80000000000000038,0.80000000000000038,3,3.0099999999999999e-12,0,3.0099999999999999e-12,1e-10
0.8200000000000004,0.8200000000000004,3,3.0099999999999999e-12,0,3.0099999999999999e-12,1e-10
0.84000000000000041,0.84000000000000041,3,3.0099999999999999e-12,0,3.0099999999999999e-12,1e-10
0.86000000000000043,0.86000000000000043,3,3.0099999999999999e-12,0,3.0099999999999999e-12,1e-10
0.88000000000000045,0.88000000000000045,3,3.0099999999999999e-12,0,3.0099999999999999e-12,1e-10
0.90000000000000047,0.90000000000000047,3,3.0099999999999999e-12,0,3.0099999999999999e-12,1e-10
0.92000000000000048,0.92000000000000048,3,3.0099999999999999e-12,0,3.0099999999999999e-12,1e-10
0.9400000000000005,0.9400000000000005,3,3.0099999999999999e-12,0,3.0099999999999999e-12,1e-10
0.96000000000000052,0.96000000000000052,3,3.0099999999999999e-12,0,3.0099999999999999e-12,1e-10
0.98000000000000054,0.98000000000000054,3,3.0099999999999999e-12,0,3.0099999999999999e-12,1e-10
1,1,3,3.0099999999999999e-12,0,3.0099999999999999e-12,1e-10
1.02,1.02,3,3.0099999999999999e-12,0,3.0099999999999999e-12,1e-10
1.04,1.04,3,3.0099999999999999e-12,0,3.0099999999999999e-12,1e-10
1.0600000000000001,1.0600000000000001,3,3.0099999999999999e-12,0,3.0099999999999999e-12,1e-10
1.080000000000001,1.080000000000001,3,3.0099999999999999e-12,0,3.0099999999999999e-12,1e-10
1.100000000000001,1.100000000000001,3,3.0099999999999999e-12,0,3.0099999999999999e-12,1e-10
1.120000000000001,1.120000000000001,3,3.0099999999999999e-12,0,3.0099999999999999e-12,1e-10
1.140000000000001,1.140000000000001,3,3.0099999999999999e-12,0,3.0099999999999999e-12,1e-10
1.160000000000001,1.160000000000001,3,3.0099999999999999e-12,0,3.0099999999999999e-12,1e-10
1.180000000000001,1.180000000000001,3,3.0099999999999999e-12,0,3.0099999999999999e-12,1e-10
1.2000000000000011,1.2000000000000011,3,3.0099999999999999e-12,1.3065508742723009e-33,3.0099999999999999e-12,1e-10
1.2200000000000011,1.2200000000000011,3,4.2400301000001969e-07,4.240000000000479e-07,3.0099999717964219e-12,1.0042400000000005e-10
1.2400000000000011,1.2400000000000011,3,1.6960030100000511e-06,1.6960000000000971e-06,3.0099999539557904e-12,1.016960000000001e-10
1.2600000000000009,1.2600000000000009,3,3.8160030100000636e-06,3.8160000000001207e-06,3.0099999429443621e-12,1.0381600000000013e-10
1.2800000000000009,1.2800000000000009,3,6.7840030100000943e-06,6.7840000000001632e-06,3.0099999310859008e-12,1.0678400000000017e-10
1.3000000000000009,1.3000000000000009,3,1.060000301000011e-05,1.0600000000000209e-05,3.0099999014397477e-12,1.1060000000000022e-10
1.320000000000001,1.320000000000001,3,1.5264003010000091e-05,1.5264000000000256e-05,3.0099998353711778e-12,1.1526400000000026e-10
1.340000000000001,1.340000000000001,3,2.0776003010000149e-05,2.07760000000003e-05,3.009999848923705e-12,1.207760000000003e-10
1.360000000000001,1.360000000000001,3,2.713600301000016e-05,2.7136000000000351e-05,3.0099998082661235e-12,1.2713600000000037e-10
1.380000000000001,1.380000000000001,3,3.4344003010000298e-05,3.4344000000000408e-05,3.0099998895812864e-12,1.3434400000000042e-10
1.400000000000001,1.400000000000001,3,4.240000301000029e-05,4.2400000000000448e-05,3.0099998421474414e-12,1.4240000000000046e-10
1.420000000000001,1.420000000000001,3,5.1304003010000407e-05,5.130400000000051e-05,3.00999989635755e-12,1.5130400000000051e-10
1.4400000000000011,1.4400000000000011,3,6.1056003010000323e-05,6.1056000000000562e-05,3.0099997608322784e-12,1.6105600000000054e-10
1.4600000000000011,1.4600000000000011,3,7.1656003010000364e-05,7.1656000000000616e-05,3.0099997472797513e-12,1.7165600000000062e-10
1.4800000000000011,1.4800000000000011,3,8.3104003010000421e-05,8.3104000000000673e-05,3.0099997472797513e-12,1.8310400000000067e-10
1.5000000000000011,1.5000000000000011,3,9.5400003010000494e-05,9.5400000000000747e-05,3.0099997472797513e-12,1.9540000000000074e-10
1.5200000000000009,1.5200000000000009,3,0.0001085440030100006,0.00010854400000000065,3.0099999505676586e-12,2.0854400000000064e-10
1.5400000000000009,1.5400000000000009,3,0.0001225360030100008,0.00012253600000000073,3.010000072540403e-12,2.2253600000000073e-10
1.5600000000000009,1.5600000000000009,3,0.0001373760030100007,0.00013737600000000077,3.0099999370151315e-12,2.3737600000000075e-10
1.580000000000001,1.580000000000001,3,0.00015306400301000071,0.0001530640000000008,3.0099999099100772e-12,2.5306400000000081e-10
1.600000000000001,1.600000000000001,3,0.0001696000030100007,0.00016960000000000084,3.0099998556999685e-12,2.6960000000000086e-10
1.620000000000001,1.620000000000001,3,0.000186984003010001,0.00018698400000000093,3.010000072540403e-12,2.8698400000000094e-10
1.640000000000001,1.640000000000001,3,0.00020521600301000089,0.00020521600000000101,3.0099998828050228e-12,3.0521600000000101e-10
1.660000000000001,1.660000000000001,3,0.0002242960030100008,0.00022429600000000108,3.009999720174697e-12,3.2429600000000106e-10
1.680000000000001,1.680000000000001,3,0.0002442240030100008,0.00024422400000000111,3.0099996930696427e-12,3.442240000000011e-10
1.7000000000000011,1.7000000000000011,3,0.00026500000301000088,0.00026500000000000118,3.0099996930696427e-12,3.6500000000000117e-10
1.7200000000000011,1.7200000000000011,3,0.00028662400301000102,0.00028662400000000127,3.0099997472797513e-12,3.8662400000000128e-10
1.7400000000000011,1.7400000000000011,3,0.00030909600301000113,0.00030909600000000132,3.0099998014898599e-12,4.0909600000000132e-10
