VGS_V,I_VDS_3V_A,I_VDS_0p2V_A
0,0,0
0.02,0,0
0.040000000000000001,0,0
0.059999999999999998,0,0
0.080000000000000002,0,0
0.10000000000000001,0,0
0.12,0,0
0.14000000000000001,0,0
0.16,0,0
0.17999999999999999,0,0
0.20000000000000001,0,0
0.22,0,0
0.23999999999999999,0,0
0.26000000000000001,0,0
0.28000000000000003,0,0
0.29999999999999999,0,0
0.32000000000000001,0,0
0.34000000000000002,0,0
0.35999999999999999,0,0
0.38,0,0
0.40000000000000002,0,0
0.41999999999999998,0,0
0.44,0,0
0.46000000000000002,0,0
0.47999999999999998,0,0
0.5,0,0
0.52000000000000002,0,0
0.54000000000000004,0,0
0.56000000000000005,0,0
0.57999999999999996,0,0
0.59999999999999998,0,0
0.62,0,0
0.64000000000000001,0,0
0.66000000000000003,0,0
0.68000000000000005,0,0
0.70000000000000007,0,0
0.71999999999999997,0,0
0.73999999999999999,0,0
0.76000000000000001,0,0
0.78000000000000003,0,0
0.80000000000000004,0,0
0.82000000000000006,0,0
0.83999999999999997,0,0
0.85999999999999999,0,0
0.88,0,0
0.90000000000000002,0,0
0.92000000000000004,0,0
0.94000000000000006,0,0
0.95999999999999996,0,0
0.97999999999999998,0,0
1,0,0
1.02,0,0
1.04,0,0
1.0600000000000001,0,0
1.0800000000000001,0,0
1.1000000000000001,0,0
1.1200000000000001,0,0
1.1400000000000001,0,0
1.1599999999999999,0,0
1.1799999999999999,0,0
1.2,0,0
1.22,4.2400000000000078e-07,4.0160000000000074e-07
1.24,1.6960000000000031e-06,1.6064000000000029e-06
1.26,3.8160000000000072e-06,3.6144000000000068e-06
1.28,6.7840000000000125e-06,6.4256000000000118e-06
1.3,1.0600000000000019e-05,1.0040000000000017e-05
1.3200000000000001,1.5264000000000029e-05,1.4457600000000027e-05
1.3400000000000001,2.077600000000004e-05,1.9678400000000035e-05
1.3600000000000001,2.713600000000005e-05,2.5702400000000047e-05
