method_id,Vth_estimate_V,Vth_error_mV
1,1.200000000000002,1.9984014443252818e-12
2,1.2000000000000017,1.7763568394002505e-12
3,1.1838020199818582,-16.197980018141767
4,1.1839302337405324,-16.069766259467542
5,1.200000000000002,1.9984014443252818e-12
