case_id,points,max_abs_error_A,rmse_A,passed
1,176,3.0100028372559429e-12,3.0099997939195869e-12,1
2,121,3.009999999999993e-12,1.7443046619170356e-12,1
3,121,3.0099999370151315e-12,1.7443034743343197e-12,1
4,121,3.0099993678089909e-12,1.7443030091424469e-12,1
5,121,3.0100002351707289e-12,1.7443029036971563e-12,1
6,121,3.0100011025324669e-12,1.7443033398797856e-12,1
7,121,3.0100002351707289e-12,1.7443039830724518e-12,1
8,176,2.1000052825154158e-13,2.0999999688527027e-13,1
