VGS_V,ideal_A,gain_only_A,offset_only_A,gain_offset_A,exact_correction_A
0,0,0,1.5e-05,1.5e-05,0
0.02,0,0,1.5e-05,1.5e-05,0
0.040000000000000001,0,0,1.5e-05,1.5e-05,0
0.059999999999999998,0,0,1.5e-05,1.5e-05,0
0.080000000000000002,0,0,1.5e-05,1.5e-05,0
0.10000000000000001,0,0,1.5e-05,1.5e-05,0
0.12,0,0,1.5e-05,1.5e-05,0
0.14000000000000001,0,0,1.5e-05,1.5e-05,0
0.16,0,0,1.5e-05,1.5e-05,0
0.17999999999999999,0,0,1.5e-05,1.5e-05,0
0.20000000000000001,0,0,1.5e-05,1.5e-05,0
0.22,0,0,1.5e-05,1.5e-05,0
0.23999999999999999,0,0,1.5e-05,1.5e-05,0
0.26000000000000001,0,0,1.5e-05,1.5e-05,0
0.28000000000000003,0,0,1.5e-05,1.5e-05,0
0.29999999999999999,0,0,1.5e-05,1.5e-05,0
0.32000000000000001,0,0,1.5e-05,1.5e-05,0
0.34000000000000002,0,0,1.5e-05,1.5e-05,0
0.35999999999999999,0,0,1.5e-05,1.5e-05,0
0.38,0,0,1.5e-05,1.5e-05,0
0.40000000000000002,0,0,1.5e-05,1.5e-05,0
0.41999999999999998,0,0,1.5e-05,1.5e-05,0
0.44,0,0,1.5e-05,1.5e-05,0
0.46000000000000002,0,0,1.5e-05,1.5e-05,0
0.47999999999999998,0,0,1.5e-05,1.5e-05,0
0.5,0,0,1.5e-05,1.5e-05,0
0.52000000000000002,0,0,1.5e-05,1.5e-05,0
0.54000000000000004,0,0,1.5e-05,1.5e-05,0
0.56000000000000005,0,0,1.5e-05,1.5e-05,0
0.57999999999999996,0,0,1.5e-05,1.5e-05,0
0.59999999999999998,0,0,1.5e-05,1.5e-05,0
0.62,0,0,1.5e-05,1.5e-05,0
0.64000000000000001,0,0,1.5e-05,1.5e-05,0
0.66000000000000003,0,0,1.5e-05,1.5e-05,0
0.68000000000000005,0,0,1.5e-05,1.5e-05,0
0.70000000000000007,0,0,1.5e-05,1.5e-05,0
0.71999999999999997,0,0,1.5e-05,1.5e-05,0
0.73999999999999999,0,0,1.5e-05,1.5e-05,0
0.76000000000000001,0,0,1.5e-05,1.5e-05,0
0.78000000000000003,0,0,1.5e-05,1.5e-05,0
0.80000000000000004,0,0,1.5e-05,1.5e-05,0
0.82000000000000006,0,0,1.5e-05,1.5e-05,0
0.83999999999999997,0,0,1.5e-05,1.5e-05,0
0.85999999999999999,0,0,1.5e-05,1.5e-05,0
0.88,0,0,1.5e-05,1.5e-05,0
0.90000000000000002,0,0,1.5e-05,1.5e-05,0
0.92000000000000004,0,0,1.5e-05,1.5e-05,0
0.94000000000000006,0,0,1.5e-05,1.5e-05,0
0.95999999999999996,0,0,1.5e-05,1.5e-05,0
0.97999999999999998,0,0,1.5e-05,1.5e-05,0
1,0,0,1.5e-05,1.5e-05,0
1.02,0,0,1.5e-05,1.5e-05,0
1.04,0,0,1.5e-05,1.5e-05,0
1.0600000000000001,0,0,1.5e-05,1.5e-05,0
1.0800000000000001,0,0,1.5e-05,1.5e-05,0
1.1000000000000001,0,0,1.5e-05,1.5e-05,0
1.1200000000000001,0,0,1.5e-05,1.5e-05,0
1.1400000000000001,0,0,1.5e-05,1.5e-05,0
1.1599999999999999,0,0,1.5e-05,1.5e-05,0
1.1799999999999999,0,0,1.5e-05,1.5e-05,0
1.2,0,0,1.5e-05,1.5e-05,0
1.22,4.2400000000000078e-07,4.2739200000000081e-07,1.5424e-05,1.5427392000000002e-05,4.2400000000000178e-07
1.24,1.6960000000000031e-06,1.7095680000000033e-06,1.6696000000000004e-05,1.6709568000000003e-05,1.6960000000000023e-06
1.26,3.8160000000000072e-06,3.8465280000000071e-06,1.8816000000000008e-05,1.8846528000000007e-05,3.8160000000000063e-06
1.28,6.7840000000000125e-06,6.838272000000013e-06,2.1784000000000014e-05,2.1838272000000014e-05,6.7840000000000133e-06
1.3,1.0600000000000019e-05,1.0684800000000018e-05,2.5600000000000019e-05,2.5684800000000019e-05,1.0600000000000019e-05
1.3200000000000001,1.5264000000000029e-05,1.5386112000000028e-05,3.0264000000000027e-05,3.038611200000003e-05,1.5264000000000032e-05
1.3400000000000001,2.077600000000004e-05,2.094220800000004e-05,3.5776000000000038e-05,3.5942208000000039e-05,2.077600000000004e-05
1.3600000000000001,2.713600000000005e-05,2.7353088000000052e-05,4.2136000000000052e-05,4.2353088000000054e-05,2.7136000000000053e-05
1.3800000000000001,3.434400000000007e-05,3.4618752000000071e-05,4.9344000000000068e-05,4.961875200000007e-05,3.434400000000007e-05
1.4000000000000001,4.2400000000000075e-05,4.2739200000000074e-05,5.7400000000000074e-05,5.7739200000000072e-05,4.2400000000000075e-05
1.4199999999999999,5.1303999999999995e-05,5.1714431999999995e-05,6.6303999999999994e-05,6.6714431999999994e-05,5.1303999999999995e-05
1.4399999999999999,6.1056000000000006e-05,6.1544448000000005e-05,7.6056000000000005e-05,7.6544448000000003e-05,6.1056000000000006e-05
1.46,7.1656000000000006e-05,7.2229248000000001e-05,8.6656000000000005e-05,8.7229248e-05,7.1656000000000006e-05
1.48,8.3104000000000009e-05,8.3768832000000011e-05,9.8104000000000008e-05,9.876883200000001e-05,8.3104000000000009e-05
1.5,9.5400000000000042e-05,9.6163200000000049e-05,0.00011040000000000004,0.00011116320000000005,9.5400000000000042e-05
1.52,0.00010854400000000006,0.00010941235200000006,0.00012354400000000006,0.00012441235200000007,0.00010854400000000008
1.54,0.00012253600000000007,0.00012351628800000007,0.00013753600000000009,0.00013851628800000008,0.00012253600000000007
1.5600000000000001,0.00013737600000000009,0.00013847500800000009,0.0001523760000000001,0.00015347500800000011,0.00013737600000000009
1.5800000000000001,0.00015306400000000012,0.00015428851200000013,0.00016806400000000013,0.00016928851200000015,0.00015306400000000012
1.6000000000000001,0.00016960000000000014,0.00017095680000000013,0.00018460000000000015,0.00018595680000000014,0.00016960000000000014
1.6200000000000001,0.00018698400000000015,0.00018847987200000014,0.00020198400000000016,0.00020347987200000016,0.00018698400000000015
1.6400000000000001,0.00020521600000000017,0.00020685772800000017,0.00022021600000000018,0.00022185772800000018,0.00020521600000000017
1.6600000000000001,0.00022429600000000021,0.00022609036800000021,0.00023929600000000022,0.00024109036800000022,0.00022429600000000021
1.6799999999999999,0.00024422400000000003,0.00024617779200000002,0.00025922400000000001,0.000261177792,0.00024422400000000003
1.7,0.00026500000000000004,0.00026712000000000003,0.00028000000000000003,0.00028212000000000002,0.00026500000000000004
1.72,0.00028662400000000003,0.000288916992,0.00030162400000000001,0.00030391699199999999,0.00028662400000000003
1.74,0.00030909600000000008,0.0003115687680000001,0.00032409600000000006,0.00032656876800000008,0.00030909600000000008
1.76,0.00033241600000000004,0.00033507532800000004,0.00034741600000000002,0.00035007532800000003,0.00033241600000000004
1.78,0.00035658400000000012,0.00035943667200000011,0.00037158400000000011,0.0003744366720000001,0.00035658400000000012
1.8,0.00038160000000000017,0.00038465280000000019,0.00039660000000000015,0.00039965280000000018,0.00038160000000000017
1.8200000000000001,0.00040746400000000018,0.00041072371200000018,0.00042246400000000016,0.00042572371200000017,0.00040746400000000018
1.8399999999999999,0.00043417599999999988,0.00043764940799999986,0.00044917599999999986,0.00045264940799999984,0.00043417599999999988
1.8599999999999999,0.00046173599999999992,0.00046542988799999993,0.0004767359999999999,0.00048042988799999991,0.00046173599999999992
1.8799999999999999,0.00049014399999999997,0.00049406515199999996,0.00050514400000000001,0.00050906515199999999,0.00049014399999999997
1.8999999999999999,0.00051940000000000005,0.00052355520000000005,0.00053440000000000009,0.00053855520000000009,0.00051940000000000005
1.9199999999999999,0.00054950400000000003,0.00055390003200000005,0.00056450400000000007,0.00056890003200000009,0.00054950400000000003
1.9399999999999999,0.00058045600000000003,0.00058509964800000007,0.00059545600000000007,0.00060009964800000011,0.00058045600000000003
1.96,0.00061225600000000004,0.0006171540480000001,0.00062725600000000008,0.00063215404800000014,0.00061225600000000004
1.98,0.00064490400000000007,0.00065006323200000004,0.00065990400000000011,0.00066506323200000007,0.00064490400000000007
2,0.00067840000000000023,0.0006838272000000002,0.00069340000000000027,0.00069882720000000024,0.00067840000000000023
2.02,0.00071274400000000007,0.00071844595200000006,0.00072774400000000011,0.00073344595200000009,0.00071274400000000007
2.04,0.00074793600000000015,0.00075391948800000014,0.00076293600000000019,0.00076891948800000018,0.00074793600000000015
2.0600000000000001,0.00078397600000000025,0.00079024780800000024,0.00079897600000000029,0.00080524780800000028,0.00078397600000000025
2.0800000000000001,0.00082086400000000025,0.00082743091200000024,0.00083586400000000029,0.00084243091200000028,0.00082086400000000025
2.0999999999999996,0.0008585999999999994,0.00086546879999999939,0.00087359999999999944,0.00088046879999999943,0.0008585999999999994
2.1200000000000001,0.00089718400000000041,0.0009043614720000004,0.00091218400000000045,0.00091936147200000044,0.00089718400000000041
2.1399999999999997,0.00093661599999999949,0.00094410892799999947,0.00095161599999999953,0.00095910892799999951,0.00093661599999999949
2.1600000000000001,0.00097689600000000032,0.00098471116800000029,0.00099189600000000036,0.00099971116800000033,0.00097689600000000032
2.1799999999999997,0.0010180239999999995,0.0010261681919999995,0.0010330239999999996,0.0010411681919999995,0.0010180239999999995
2.2000000000000002,0.0010600000000000006,0.0010684800000000006,0.0010750000000000007,0.0010834800000000006,0.0010600000000000006
2.2199999999999998,0.0011028239999999994,0.0011116465919999994,0.0011178239999999995,0.0011266465919999994,0.0011028239999999994
2.2400000000000002,0.0011464960000000005,0.0011556679680000004,0.0011614960000000006,0.0011706679680000005,0.0011464960000000005
2.2599999999999998,0.0011910159999999998,0.0012005441279999999,0.0012060159999999999,0.001215544128,0.0011910159999999998
2.2800000000000002,0.0012363840000000007,0.0012462750720000008,0.0012513840000000008,0.0012612750720000009,0.0012363840000000007
2.2999999999999998,0.0012825999999999998,0.0012928607999999999,0.0012975999999999999,0.0013078607999999999,0.0012825999999999998
2.3200000000000003,0.0013296640000000006,0.0013403013120000006,0.0013446640000000006,0.0013553013120000006,0.0013296640000000006
2.3399999999999999,0.0013775759999999999,0.0013885966079999999,0.001392576,0.001403596608,0.0013775759999999999
2.3599999999999999,0.0014263360000000001,0.001437746688,0.0014413360000000001,0.0014527466880000001,0.0014263360000000001
2.3799999999999999,0.0014759439999999999,0.0014877515519999998,0.0014909439999999999,0.0015027515519999998,0.0014759439999999999
2.3999999999999999,0.0015264,0.0015386112000000001,0.0015414000000000001,0.0015536112000000002,0.0015264
2.4199999999999999,0.0015777040000000001,0.0015903256320000001,0.0015927040000000001,0.0016053256320000002,0.0015777040000000001
2.4399999999999999,0.0016298560000000001,0.0016428948480000001,0.0016448560000000001,0.0016578948480000001,0.0016298560000000001
2.46,0.0016828560000000004,0.0016963188480000003,0.0016978560000000004,0.0017113188480000004,0.0016828560000000004
2.48,0.0017367040000000002,0.0017505976320000001,0.0017517040000000002,0.0017655976320000001,0.0017367040000000002
2.5,0.0017914000000000003,0.0018057312000000004,0.0018064000000000003,0.0018207312000000004,0.0017914000000000003
2.52,0.0018469440000000003,0.0018617195520000004,0.0018619440000000004,0.0018767195520000004,0.0018469440000000003
2.54,0.0019033360000000005,0.0019185626880000005,0.0019183360000000005,0.0019335626880000005,0.0019033360000000005
2.5600000000000001,0.0019605760000000003,0.0019762606080000003,0.0019755760000000002,0.0019912606080000001,0.0019605760000000003
2.5800000000000001,0.0020186640000000003,0.0020348133120000004,0.0020336640000000001,0.0020498133120000002,0.0020186640000000003
2.6000000000000001,0.0020776000000000006,0.0020942208000000006,0.0020926000000000004,0.0021092208000000005,0.0020776000000000006
2.6200000000000001,0.0021373840000000009,0.002154483072000001,0.0021523840000000007,0.0021694830720000008,0.0021373840000000009
2.6400000000000001,0.0021980160000000006,0.0022156001280000007,0.0022130160000000004,0.0022306001280000005,0.0021980160000000006
2.6600000000000001,0.002259496000000001,0.0022775719680000008,0.0022744960000000009,0.0022925719680000007,0.002259496000000001
2.6799999999999997,0.0023218239999999997,0.0023403985919999998,0.0023368239999999995,0.0023553985919999997,0.0023218239999999997
2.7000000000000002,0.0023850000000000013,0.0024040800000000011,0.0024000000000000011,0.002419080000000001,0.0023850000000000013
2.7199999999999998,0.0024490239999999997,0.0024686161919999995,0.0024640239999999996,0.0024836161919999994,0.0024490239999999997
2.7400000000000002,0.0025138960000000011,0.0025340071680000011,0.002528896000000001,0.0025490071680000009,0.0025138960000000011
2.7599999999999998,0.0025796159999999994,0.0026002529279999993,0.0025946159999999992,0.0026152529279999991,0.0025796159999999994
2.7800000000000002,0.0026461840000000011,0.0026673534720000011,0.0026611840000000009,0.0026823534720000009,0.0026461840000000011
2.7999999999999998,0.0027136,0.0027353087999999999,0.0027285999999999999,0.0027503087999999998,0.0027136
2.8199999999999998,0.0027818639999999998,0.0028041189119999998,0.0027968639999999996,0.0028191189119999996,0.0027818639999999998
2.8399999999999999,0.0028509759999999994,0.0028737838079999994,0.0028659759999999992,0.0028887838079999992,0.0028509759999999994
2.8599999999999999,0.0029209360000000003,0.0029443034880000003,0.0029359360000000001,0.0029593034880000002,0.0029209360000000003
2.8799999999999999,0.0029917439999999997,0.0030156779519999997,0.0030067439999999996,0.0030306779519999995,0.0029917439999999997
2.8999999999999999,0.0030634,0.0030879072,0.0030783999999999998,0.0031029071999999999,0.0030634
2.9199999999999999,0.0031359040000000001,0.0031609912320000001,0.0031509039999999999,0.0031759912319999999,0.0031359040000000001
2.9399999999999999,0.0032092560000000002,0.0032349300480000003,0.003224256,0.0032499300480000001,0.0032092560000000002
2.96,0.0032834560000000001,0.0033097236480000001,0.003298456,0.0033247236479999999,0.0032834560000000001
2.98,0.003358504,0.0033853720320000001,0.0033735039999999998,0.0034003720319999999,0.003358504
3,0.0034344000000000006,0.0034618752000000006,0.0034494000000000005,0.0034768752000000004,0.0034344000000000006
3.02,0.0035111440000000008,0.0035392331520000008,0.0035261440000000006,0.0035542331520000007,0.0035111440000000008
3.04,0.0035887360000000004,0.0036174458880000003,0.0036037360000000002,0.0036324458880000001,0.0035887360000000004
3.0600000000000001,0.0036671760000000007,0.0036965134080000008,0.0036821760000000005,0.0037115134080000006,0.0036671760000000007
3.0800000000000001,0.003746464000000001,0.0037764357120000009,0.0037614640000000008,0.0037914357120000007,0.003746464000000001
3.1000000000000001,0.0038266000000000007,0.0038572128000000008,0.0038416000000000006,0.0038722128000000006,0.0038266000000000007
3.1200000000000001,0.0039075840000000013,0.0039388446720000012,0.0039225840000000015,0.0039538446720000014,0.0039075840000000013
3.1400000000000001,0.0039894160000000008,0.0040213313280000008,0.0040044160000000011,0.0040363313280000011,0.0039894160000000008
3.1600000000000001,0.0040720960000000007,0.0041046727680000006,0.004087096000000001,0.0041196727680000008,0.0040720960000000007
3.1800000000000002,0.004155624000000001,0.0041888689920000013,0.0041706240000000012,0.0042038689920000016,0.004155624000000001
3.2000000000000002,0.0042400000000000007,0.0042739200000000005,0.004255000000000001,0.0042889200000000008,0.0042400000000000007
3.2199999999999998,0.0043252239999999982,0.004359825791999998,0.0043402239999999984,0.0043748257919999983,0.0043252239999999982
3.2400000000000002,0.0044112959999999994,0.0044465863679999992,0.0044262959999999997,0.0044615863679999994,0.0044112959999999994
3.2599999999999998,0.0044982159999999985,0.0045342017279999987,0.0045132159999999987,0.0045492017279999989,0.0044982159999999985
3.2799999999999998,0.0045859840000000004,0.0046226718720000001,0.0046009840000000007,0.0046376718720000003,0.0045859840000000004
3.2999999999999998,0.0046745999999999984,0.0047119967999999981,0.0046895999999999986,0.0047269967999999983,0.0046745999999999984
3.3199999999999998,0.004764064000000001,0.0048021765120000014,0.0047790640000000013,0.0048171765120000017,0.004764064000000001
3.3399999999999999,0.0048543759999999988,0.0048932110079999988,0.004869375999999999,0.0049082110079999991,0.0048543759999999988
